schema_version,run_id,condition,iteration,direction,attempt,rc,counter_cycles,duration_ns,request_elapsed_ns
1,run-004,idle,186,RTO-to-DYN,0,0,1022,42583,42583
1,run-004,idle,187,DYN-to-RTO,0,0,6678,278250,278541
1,run-004,idle,187,RTO-to-DYN,0,0,1001,41708,41708
1,run-004,idle,188,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,188,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,189,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,189,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,190,DYN-to-RTO,0,0,6734,280583,280875
1,run-004,idle,190,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,191,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,191,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,192,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,192,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,193,DYN-to-RTO,0,0,6734,280583,280875
1,run-004,idle,193,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,194,DYN-to-RTO,0,0,6671,277958,278250
1,run-004,idle,194,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,195,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,195,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,196,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,196,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,197,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,197,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,198,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,198,RTO-to-DYN,0,0,924,38500,38500
1,run-004,idle,199,DYN-to-RTO,0,0,6741,280875,280875
1,run-004,idle,199,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,200,DYN-to-RTO,0,0,6671,277958,277958
1,run-004,idle,200,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,201,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,201,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,202,DYN-to-RTO,0,0,6762,281750,281750
1,run-004,idle,202,RTO-to-DYN,0,0,931,38791,39083
1,run-004,idle,203,DYN-to-RTO,0,0,6685,278541,278541
1,run-004,idle,203,RTO-to-DYN,0,0,938,39083,39083
1,run-004,idle,204,DYN-to-RTO,0,0,6678,278250,278250
1,run-004,idle,204,RTO-to-DYN,0,0,931,38791,38791
1,run-004,idle,205,DYN-to-RTO,0,0,6748,281166,281166
